cv_k,mu_b0,mu_b,p_coverage,fl,filter_order,coherence,r2_Sr,r2_bt
0.01,2.53,1.96,0.316,0.00741,1.12,0.432,0.992,0.502
0.02,2.53,2.51,0.446,0.00731,1.13,0.511,0.991,0.596
0.05,2.52,2.78,0.5,0.0158,1.17,0.603,0.997,0.721
0.1,2.47,3.04,0.528,0.0194,1.31,0.684,0.998,0.786
0.2,2.31,3.26,0.506,0.0309,1.34,0.739,0.999,0.808
0.3,2.14,3.33,0.448,0.0374,1.25,0.754,0.999,0.809
0.4,2.03,3.45,0.4,0.0403,1.19,0.773,0.999,0.808
0.5,1.99,3.65,0.367,0.0453,1.19,0.81,0.999,0.819
0.6,1.95,3.8,0.334,0.0459,1.18,0.833,0.999,0.818
0.7,1.94,3.98,0.296,0.0466,1.2,0.862,0.999,0.819
0.8,1.94,4.13,0.267,0.0564,1.2,0.883,0.999,0.816
0.9,1.97,4.3,0.254,0.0612,1.23,0.907,0.999,0.817
1,2.02,4.45,0.215,0.0614,1.24,0.925,0.999,0.796
