cva,Scr_1,Scr_2,Scr_3,fcr_1,fcr_2,fcr_3,regr_1,regr_2,regr_3,coherence,r2Sr_1,r2Sr_2,r2Sr_3,fraction_exogenous
0,220,165,209,0.0226,0.0229,0.0227,9740,7210,9200,7.65e-06,0.936,0.925,0.944,0
0.01,162,137,141,0.0226,0.0226,0.0224,7150,6040,6280,0.000342,0.932,0.943,0.941,0.0331
0.02,123,105,100,0.0223,0.0225,0.0219,5550,4660,4580,0.000475,0.937,0.952,0.958,0.0599
0.03,100,93,84.7,0.0216,0.0222,0.021,4660,4190,4030,0.000557,0.95,0.951,0.967,0.0846
0.04,87.1,82.8,75.9,0.021,0.0212,0.0205,4160,3920,3710,0.000611,0.958,0.963,0.97,0.106
0.05,78.7,77.4,72.1,0.0204,0.0205,0.0197,3860,3780,3660,0.000642,0.964,0.964,0.971,0.127
0.06,72.8,73,68.1,0.0199,0.02,0.0192,3670,3650,3540,0.000668,0.968,0.965,0.971,0.14
0.07,69.3,69.4,64.4,0.0192,0.0195,0.0187,3600,3560,3440,0.000688,0.971,0.966,0.971,0.151
0.08,67.2,64.1,60.9,0.0187,0.0191,0.0181,3590,3350,3360,0.000704,0.972,0.97,0.972,0.161
0.09,62.2,61.5,59.2,0.0185,0.0187,0.0176,3360,3300,3370,0.000713,0.973,0.97,0.972,0.167
0.1,61.7,61.7,57.5,0.0177,0.0179,0.0171,3480,3440,3370,0.000722,0.975,0.971,0.972,0.172
0.11,60.1,60.2,56,0.0172,0.0174,0.0166,3490,3460,3380,0.00073,0.976,0.972,0.971,0.176
0.12,58.9,58.6,54.9,0.0168,0.017,0.0161,3500,3450,3420,0.000737,0.976,0.972,0.971,0.179
0.13,57.4,57.5,54.3,0.0164,0.0165,0.0156,3490,3480,3480,0.000741,0.976,0.973,0.97,0.179
0.14,54.6,56.3,53.7,0.0162,0.0161,0.0152,3380,3490,3550,0.000745,0.976,0.972,0.97,0.179
0.15,55.3,55.5,53.4,0.0156,0.0157,0.0148,3540,3530,3610,0.000748,0.976,0.972,0.969,0.179
0.16,54.8,55,53.1,0.0152,0.0153,0.0143,3600,3600,3700,0.00075,0.976,0.972,0.968,0.177
0.17,54,54.4,52.9,0.015,0.0149,0.014,3610,3650,3780,0.000753,0.975,0.972,0.967,0.176
0.18,53.4,54,52.8,0.0146,0.0145,0.0136,3650,3720,3880,0.000754,0.975,0.972,0.967,0.173
0.19,53,53.4,52.8,0.0143,0.0141,0.0132,3710,3780,3990,0.000754,0.974,0.972,0.967,0.173
0.2,52.7,53.1,52.8,0.014,0.0138,0.0129,3770,3850,4080,0.000754,0.974,0.971,0.967,0.168
0.21,52.2,52.8,52.8,0.0137,0.0135,0.0126,3810,3920,4180,0.000754,0.972,0.97,0.966,0.165
0.22,51.9,52.6,52.8,0.0135,0.0132,0.0123,3850,3990,4280,0.000752,0.971,0.97,0.966,0.162
0.23,51.7,52.5,52.9,0.0132,0.0129,0.012,3910,4070,4400,0.000751,0.97,0.969,0.966,0.159
0.24,51.5,52.5,53.1,0.013,0.0126,0.0118,3970,4150,4510,0.000749,0.969,0.969,0.965,0.156
0.25,51.6,52.5,53.2,0.0127,0.0124,0.0115,4060,4250,4630,0.000747,0.969,0.968,0.965,0.154
0.26,50.1,52.6,53.5,0.0124,0.0121,0.0112,4030,4340,4770,0.000744,0.966,0.968,0.965,0.149
0.27,51.3,52.6,53.7,0.0122,0.0119,0.011,4200,4430,4880,0.000741,0.967,0.967,0.964,0.146
0.28,51.3,52.6,53.9,0.012,0.0116,0.0108,4290,4520,5000,0.000738,0.966,0.966,0.964,0.143
