cva,Scr,fcr,regr,coherence,r2Sr,fraction_exogenous
0,220,0.0226,9740,4.46e-06,0.936,0
0.01,162,0.0226,7150,0.000251,0.932,0.0186
0.02,123,0.0223,5550,0.000413,0.937,0.0327
0.03,100,0.0216,4660,0.000489,0.95,0.0441
0.04,87.1,0.021,4160,0.00052,0.958,0.0541
0.05,78.7,0.0204,3860,0.000544,0.964,0.063
0.06,72.8,0.0199,3670,0.000559,0.968,0.0715
0.07,69.3,0.0192,3600,0.000574,0.971,0.0791
0.08,67.2,0.0187,3590,0.000583,0.972,0.0847
0.09,62.2,0.0185,3360,0.000594,0.973,0.0929
0.1,61.7,0.0177,3480,0.000604,0.975,0.0959
0.11,60.1,0.0172,3490,0.000611,0.976,0.0996
0.12,58.9,0.0168,3500,0.000616,0.976,0.102
0.13,57.4,0.0164,3490,0.000622,0.976,0.104
0.14,54.6,0.0162,3380,0.000626,0.976,0.107
0.15,55.3,0.0156,3540,0.000629,0.976,0.106
0.16,54.8,0.0152,3600,0.00063,0.976,0.107
0.17,54,0.015,3610,0.000633,0.975,0.106
0.18,53.4,0.0146,3650,0.000636,0.975,0.106
0.19,53,0.0143,3710,0.000639,0.974,0.105
0.2,52.7,0.014,3770,0.000639,0.974,0.103
0.21,52.2,0.0137,3810,0.00064,0.972,0.102
0.22,51.9,0.0135,3850,0.00064,0.971,0.101
0.23,51.7,0.0132,3910,0.00064,0.97,0.0992
0.24,51.5,0.013,3970,0.000642,0.969,0.0974
0.25,51.6,0.0127,4060,0.000641,0.969,0.0955
0.26,50.1,0.0124,4030,0.000641,0.966,0.0953
0.27,51.3,0.0122,4200,0.000638,0.967,0.0921
0.28,51.3,0.012,4290,0.000638,0.966,0.0903
0.29,51.2,0.0118,4340,0.000637,0.965,0.0883
0.3,51.1,0.0116,4430,0.000636,0.964,0.0864
0.31,51.3,0.0113,4550,0.000633,0.963,0.0843
0.32,50.2,0.011,4570,0.000633,0.961,0.0834
0.33,51.2,0.0108,4730,0.000629,0.961,0.0808
0.34,51.2,0.0106,4830,0.000626,0.96,0.0793
0.35,51.2,0.0104,4940,0.000623,0.959,0.0774
0.36,51.4,0.0101,5070,0.00062,0.959,0.0754
0.37,51.5,0.00996,5180,0.000617,0.958,0.0739
0.38,51.7,0.00977,5290,0.000613,0.957,0.0725
0.39,51.8,0.00957,5420,0.000609,0.956,0.0712
0.4,52.1,0.00934,5580,0.000606,0.955,0.0698
0.41,52.2,0.00917,5690,0.000602,0.954,0.0682
0.42,52.4,0.009,5820,0.000599,0.953,0.0669
0.43,51.9,0.00872,5960,0.000596,0.95,0.0676
0.44,52.8,0.00868,6080,0.000591,0.951,0.0644
0.45,53,0.00852,6220,0.000587,0.95,0.0632
0.46,53.3,0.00836,6380,0.000583,0.95,0.0621
0.47,53.7,0.0082,6540,0.000578,0.949,0.0612
0.48,53.6,0.00788,6800,0.000575,0.947,0.0619
0.49,54.4,0.00785,6930,0.000568,0.947,0.0594
0.5,54.8,0.00771,7110,0.000564,0.947,0.0583
