cva,ca,Scxp,fcxp,regx,p_periodic,r2Sxp
0,NaN,1020,0.0146,14.9,0,0.811
0.01,0.997,1070,0.0137,14.6,0,0.788
0.02,0.997,801,0.0143,11.4,1.21e-05,0.881
0.03,0.994,663,0.0136,9.04,0,0.88
0.04,0.991,533,0.0136,7.27,0.000679,0.902
0.05,0.988,438,0.0136,5.98,2.17e-05,0.914
0.06,0.985,288,0.0127,3.66,0.00634,0.932
0.07,0.982,241,0.0126,3.04,0.0487,0.932
0.08,0.974,195,0.0123,2.4,0.406,0.936
0.09,0.966,115,0.0123,1.41,0.664,0.941
0.1,0.956,80.6,0.0128,1.04,0.0773,0.931
0.11,0.944,44.9,0.0158,0.709,0.907,0.959
0.12,0.933,39.5,0.0167,0.66,0.175,0.959
0.13,0.923,36,0.0172,0.618,0.649,0.957
0.14,0.91,35.8,0.0165,0.59,1,0.958
0.15,0.899,35.3,0.016,0.563,0.911,0.957
0.16,0.888,35.1,0.0155,0.543,0.603,0.958
0.17,0.875,35.5,0.0148,0.526,0.493,0.959
0.18,0.864,35.4,0.0144,0.511,0.272,0.959
0.19,0.851,35.2,0.014,0.494,0.331,0.96
0.2,0.839,35.3,0.0136,0.482,0.293,0.961
0.21,0.827,35,0.0133,0.466,0.321,0.961
0.22,0.815,35.2,0.013,0.458,0.378,0.963
0.23,0.804,35.1,0.0128,0.449,0.392,0.963
0.24,0.792,34.9,0.0126,0.439,0.418,0.964
0.25,0.78,34.9,0.0122,0.427,0.559,0.965
0.26,0.768,34.7,0.012,0.416,0.0237,0.965
0.27,0.757,34.5,0.0117,0.404,0.0122,0.965
0.28,0.746,34.4,0.0115,0.396,0.0174,0.966
0.29,0.734,34.4,0.0112,0.385,0.0139,0.966
0.3,0.723,34.2,0.011,0.376,0.0137,0.966
0.31,0.711,34.1,0.0108,0.368,0.0108,0.967
0.32,0.7,33.9,0.0106,0.359,0.0114,0.967
0.33,0.688,33.7,0.0104,0.35,0.00784,0.967
0.34,0.677,33.5,0.0102,0.341,0.00902,0.968
0.35,0.666,33.4,0.00994,0.332,0.00916,0.968
0.36,0.655,33.4,0.00967,0.323,0.0104,0.968
0.37,0.644,33.3,0.00938,0.312,0.0221,0.969
0.38,0.633,33.2,0.00909,0.302,0.0211,0.969
0.39,0.623,33.2,0.00879,0.292,0.0269,0.969
0.4,0.612,33.2,0.00847,0.281,0.0278,0.969
0.41,0.603,33.1,0.00822,0.272,0.0343,0.969
0.42,0.593,33.1,0.00797,0.263,0.0368,0.97
0.43,0.582,33,0.00767,0.253,0.0413,0.97
0.44,0.572,33,0.00731,0.241,0.0339,0.97
0.45,0.562,33.1,0.00698,0.231,0.0453,0.97
0.46,0.552,33.1,0.00659,0.218,0.0417,0.97
0.47,0.543,33.2,0.00618,0.205,0.0413,0.97
0.48,0.533,33.2,0.0058,0.192,0.0269,0.971
0.49,0.524,33.2,0.00535,0.178,0.0298,0.971
0.5,0.515,33.3,0.00485,0.162,0.0361,0.971
